"MasterFundCode","FullName","InceptionDate","Category"
"000001","华夏成长证券投资基金","2001-12-18","混合型基金"
"000003","中海可转换债券债券型证券投资基金","2013-03-20","债券型基金"
"000005","嘉实增强信用定期开放债券型证券投资基金","2013-03-08","债券型基金"
"000006","西部利得量化成长混合型发起式证券投资基金","2019-03-19","混合型基金"
"000007","鹏华国有企业债债券型证券投资基金","2013-03-08","债券型基金"
"000008","嘉实中证500ETF交易型开放式指数证券投资基金联接基金","2013-03-22","股票型基金"
"000009","易方达天天理财货币市场基金","2013-03-04","货币型基金"
"000011","华夏大盘精选证券投资基金","2004-08-11","混合型基金"
"000014","华夏聚利债券型证券投资基金","2013-03-19","债券型基金"
"000015","华夏纯债债券型证券投资基金","2013-03-08","债券型基金"
"000017","财通可持续发展主题混合型证券投资基金","2013-03-27","混合型基金"
"000020","景顺长城品质投资混合型证券投资基金","2013-03-19","混合型基金"
"000021","华夏优势增长混合型证券投资基金","2006-11-24","混合型基金"
"000022","南方中债中期票据指数债券型发起式证券投资基金","2013-05-03","债券型基金"
"000024","摩根士丹利华鑫双利增强债券型证券投资基金","2013-03-26","债券型基金"
"000026","泰达宏利信用合利定期开放债券型证券投资基金","2013-03-19","债券型基金"
"000028","华富安鑫债券型证券投资基金","2013-04-24","债券型基金"
"000029","富国宏观策略灵活配置混合型证券投资基金","2013-04-12","混合型基金"
"000030","长城核心优选灵活配置混合型证券投资基金","2013-04-18","混合型基金"
"000031","华夏复兴混合型证券投资基金","2007-09-10","混合型基金"
"000032","易方达信用债债券型证券投资基金","2013-04-24","债券型基金"
"000037","广发理财7天债券型证券投资基金","2013-06-20","债券型基金"
"000037","广发景宁纯债债券型证券投资基金","2020-04-22","债券型基金"
"000039","农银汇理低估值高增长混合型证券投资基金","2013-03-26","混合型基金"
"000041","华夏全球精选股票型证券投资基金","2007-10-09","股票型基金"
"000042","中证财通中国可持续发展100(ECPI ESG)指数增强型证券投资基金","2013-03-22","股票型基金"
"000043","嘉实美国成长股票型证券投资基金","2013-06-14","股票型基金"
"000045","工银瑞信产业债债券型证券投资基金","2013-03-29","债券型基金"
"000047","华夏双债增强债券型证券投资基金","2013-03-14","债券型基金"
"000049","中银标普全球精选自然资源等权重指数证券投资基金","2013-03-19","股票型基金"
"000050","长盛纯债债券型证券投资基金","2013-03-13","债券型基金"
"000051","华夏沪深300交易型开放式指数证券投资基金联接基金","2009-07-10","股票型基金"
"000053","鹏华永诚一年定期开放债券型证券投资基金","2013-05-03","债券型基金"
"000054","鹏华双债增利债券型证券投资基金","2013-03-13","债券型基金"
"000056","建信消费升级混合型证券投资基金","2013-06-14","混合型基金"
"000057","中银消费主题混合型证券投资基金","2013-04-25","混合型基金"
"000058","国联安灵活配置混合型证券投资基金","2013-04-23","混合型基金"
