"MasterFundCode","Symbol","ShortName","InceptionDate"
"000001","000001","华夏成长混合","2001-12-18"
"000003","000003","中海可转债A","2013-03-20"
"000003","000004","中海可转债C","2013-03-20"
"000005","000005","嘉实增强信用定期债券","2013-03-08"
"000006","000006","西部利得量化成长混合A","2019-03-19"
"000007","000007","鹏华国企债债券","2013-03-08"
"000008","000008","嘉实中证500ETF联接A","2013-03-22"
"000009","000009","易方达天天理财货币A","2013-03-04"
"000009","000010","易方达天天理财货币B","2013-03-04"
"000011","000011","华夏大盘精选混合A/B","2004-08-11"
"000009","000013","易方达天天理财货币R","2013-03-04"
"000014","000014","华夏聚利债券","2013-03-19"
"000015","000015","华夏纯债A","2013-03-08"
"000015","000016","华夏纯债C","2013-03-08"
"000017","000017","财通可持续混合","2013-03-27"
"000020","000020","景顺长城品质投资混合","2013-03-19"
"000021","000021","华夏优势增长混合","2006-11-24"
"000022","000022","南方中票A","2013-05-03"
"000022","000023","南方中票C","2013-05-03"
"000024","000024","大摩双利增强债券A","2013-03-26"
"000024","000025","大摩双利增强债券C","2013-03-26"
"000026","000026","泰达信用合利债券A","2013-03-19"
"000026","000027","泰达信用合利债券B","2013-03-19"
"000028","000028","华富安鑫债券","2013-04-24"
"000029","000029","富国宏观策略灵活配置混合A","2013-04-12"
"000030","000030","长城核心优选混合","2013-04-18"
"000031","000031","华夏复兴混合A","2007-09-10"
"000032","000032","易方达信用债债券A","2013-04-24"
"000032","000033","易方达信用债债券C","2013-04-24"
"000037","000037","广发理财7天债券A","2013-06-20"
"000037","000037","广发景宁纯债A","2020-04-22"
"000037","000038","广发理财7天债券B","2013-06-20"
"000039","000039","农银汇理低估值高增长","2013-03-26"
"000041","000041","华夏全球精选QDII","2007-10-09"
"000042","000042","财通中证ESG100指数增强A","2013-03-22"
"000043","000043","嘉实美国成长股票(QDII)(人民币)","2013-06-14"
"000043","000044","嘉实美国成长股票(QDII)(美元现汇)","2013-06-14"
"000045","000045","工银产业债A","2013-03-29"
"000045","000046","工银产业债B","2013-03-29"
"000047","000047","华夏双债债券A","2013-03-14"
